Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,3363.000000,3419.000000,3355.000000,3408.350098,3408.350098,2205161
2023-02-02,3427.000000,3469.000000,3420.100098,3460.399902,3460.399902,1813847
2023-02-03,3504.000000,3504.000000,3452.899902,3482.300049,3482.300049,1804469
2023-02-06,3473.149902,3473.149902,3436.850098,3459.949951,3459.949951,1138714
2023-02-07,3468.899902,3493.000000,3461.399902,3472.550049,3472.550049,1455647
2023-02-08,3478.050049,3539.899902,3478.050049,3520.100098,3520.100098,1986946
2023-02-09,3515.000000,3547.600098,3505.300049,3540.850098,3540.850098,1655427
2023-02-10,3520.000000,3542.350098,3508.149902,3537.550049,3537.550049,1187821
2023-02-13,3549.000000,3549.000000,3473.399902,3482.399902,3482.399902,1087939
2023-02-14,3505.000000,3524.850098,3495.000000,3500.100098,3500.100098,1579818
2023-02-15,3487.000000,3526.000000,3460.149902,3520.649902,3520.649902,1429449
2023-02-16,3527.199951,3575.000000,3527.000000,3558.050049,3558.050049,1618931
2023-02-17,3526.149902,3538.899902,3490.000000,3501.149902,3501.149902,1061369
2023-02-20,3502.000000,3522.000000,3475.050049,3487.300049,3487.300049,1296082
2023-02-21,3494.000000,3508.899902,3444.750000,3451.000000,3451.000000,1139541
2023-02-22,3414.949951,3447.000000,3395.000000,3401.550049,3401.550049,1218430
2023-02-23,3421.000000,3452.399902,3408.000000,3413.800049,3413.800049,1441570
2023-02-24,3422.500000,3433.949951,3382.300049,3400.449951,3400.449951,977592
2023-02-27,3390.000000,3390.000000,3316.000000,3331.850098,3331.850098,1128022
2023-02-28,3328.500000,3392.000000,3299.899902,3312.850098,3312.850098,4116217
2023-03-01,3323.000000,3389.000000,3315.000000,3385.699951,3385.699951,1669307
2023-03-02,3361.000000,3369.899902,3318.000000,3321.449951,3321.449951,1556538
2023-03-03,3354.000000,3358.000000,3331.100098,3342.149902,3342.149902,1043190
2023-03-06,3361.899902,3404.949951,3359.000000,3371.850098,3371.850098,1334132
2023-03-08,3364.000000,3396.000000,3330.850098,3390.399902,3390.399902,1844590
2023-03-09,3385.000000,3385.000000,3330.850098,3336.850098,3336.850098,1648500
2023-03-10,3312.899902,3337.250000,3290.000000,3331.000000,3331.000000,1024404
2023-03-13,3333.000000,3369.800049,3272.000000,3281.949951,3281.949951,1901233
2023-03-14,3280.000000,3304.399902,3209.399902,3214.949951,3214.949951,2670334
2023-03-15,3250.000000,3260.350098,3192.000000,3198.899902,3198.899902,1780522
2023-03-16,3208.000000,3219.800049,3172.000000,3185.000000,3185.000000,1901060
2023-03-17,3150.500000,3221.399902,3144.000000,3179.300049,3179.300049,6739966
2023-03-20,3169.649902,3169.649902,3095.050049,3143.300049,3143.300049,2289468
2023-03-21,3143.300049,3156.750000,3097.449951,3106.100098,3106.100098,1815297
2023-03-22,3130.050049,3143.500000,3106.100098,3130.800049,3130.800049,1123939
2023-03-23,3114.899902,3146.350098,3101.000000,3124.649902,3124.649902,1372218
2023-03-24,3148.899902,3170.000000,3106.000000,3120.500000,3120.500000,1329577
2023-03-27,3135.000000,3152.750000,3106.000000,3122.300049,3122.300049,1524217
2023-03-28,3127.000000,3149.550049,3110.149902,3115.899902,3115.899902,1303530
2023-03-29,3129.000000,3150.000000,3104.100098,3138.899902,3138.899902,1740616
2023-03-31,3189.949951,3213.000000,3152.000000,3205.899902,3205.899902,2382581
2023-04-03,3224.949951,3224.949951,3173.750000,3200.000000,3200.000000,1521830
2023-04-05,3185.500000,3264.350098,3185.500000,3239.800049,3239.800049,2655065
2023-04-06,3225.000000,3257.350098,3215.000000,3220.699951,3220.699951,1703464
2023-04-10,3220.000000,3272.000000,3215.000000,3263.399902,3263.399902,2203187
2023-04-11,3264.000000,3272.949951,3192.149902,3213.800049,3213.800049,2348779
2023-04-12,3227.949951,3260.949951,3199.000000,3241.649902,3241.649902,2417727
2023-04-13,3210.000000,3230.000000,3180.000000,3188.850098,3188.850098,4174070
2023-04-17,3134.100098,3163.399902,3070.250000,3139.500000,3139.500000,5505048
2023-04-18,3154.949951,3156.850098,3110.600098,3130.750000,3130.750000,2617302
2023-04-19,3130.750000,3140.000000,3071.500000,3089.600098,3089.600098,3298034
2023-04-20,3090.000000,3113.000000,3078.000000,3104.800049,3104.800049,2419999
2023-04-21,3110.000000,3164.449951,3100.800049,3160.850098,3160.850098,1929184
2023-04-24,3151.100098,3180.949951,3126.149902,3174.800049,3174.800049,1640676
